# site_distance 양식 — 대표 사찰 사이의 최소 이동시간(챕터 11 항목 11 · 결정 D)
#
# 무엇에 쓰나
#   자리 A 의 도장을 찍고 자리 B 로 이동하는 데 최소 몇 분이 걸리는지의 표다. 이보다 빨리 찍으면
#   챕터 5 가 도장을 PENDING(TRAVEL_TIME) 으로 세우고 관리자 확인으로 넘긴다.
#   여기에 없는 쌍은 stamp.default-travel-minutes(15분) 로 판정한다 — 표는 "더 정확한 값" 이지
#   "검사를 켜는 스위치" 가 아니다.
#
# 규모
#   코스 하나에 대표 5곳 → 방향 있는 쌍 5x4 = 20행. 12코스면 240행이다.
#   아래는 ACTIVE 코스(서울 도심 다섯 절) 20행을 다 채운 본보기다.
#
# ★ 관리자 API 는 이름을 id 로 바꾸지 않는다
#   PUT /api/admin/site-distances 는 {siteAId, siteBId, minMinutes} 만 받는다(한 번에 최대 240행).
#   그래서 site_a_id·site_b_id 칸을 콘텐츠 트랙이 채워야 한다. 이름으로 id 를 찾는 질의:
#     SELECT site_id, name FROM site WHERE name IN ('조계사','봉은사', ...);
#   이름은 사람이 표를 읽기 위한 것이고, 서버로 가는 것은 id 다.
#
# ★ 값은 밖으로 나가지 않는다
#   AdminSiteDistanceService 에 조회 API 가 없는 것은 일부러다 — 최소 이동시간이 응답에 실리면
#   "그만큼 기다렸다 찍으면 된다" 가 되어 심사가 통째로 우회된다. 쓰기 전용 표다.
#
# ★ 방향이 있다
#   (A→B) 와 (B→A) 를 각각 적는다. 오르막·환승 때문에 실제로 다를 수 있고,
#   한 방향만 적으면 반대 방향이 조용히 기본값으로 떨어진다.
site_a_name,sigungu_a,site_b_name,sigungu_b,min_minutes,site_a_id,site_b_id
조계사,종로구,봉은사,강남구,40,1,2
조계사,종로구,화계사,강북구,35,1,3
조계사,종로구,도선사,강북구,45,1,4
조계사,종로구,진관사,은평구,40,1,5
봉은사,강남구,조계사,종로구,40,2,1
봉은사,강남구,화계사,강북구,55,2,3
봉은사,강남구,도선사,강북구,65,2,4
봉은사,강남구,진관사,은평구,65,2,5
화계사,강북구,조계사,종로구,35,3,1
화계사,강북구,봉은사,강남구,55,3,2
화계사,강북구,도선사,강북구,15,3,4
화계사,강북구,진관사,은평구,50,3,5
도선사,강북구,조계사,종로구,45,4,1
도선사,강북구,봉은사,강남구,65,4,2
도선사,강북구,화계사,강북구,15,4,3
도선사,강북구,진관사,은평구,55,4,5
진관사,은평구,조계사,종로구,40,5,1
진관사,은평구,봉은사,강남구,65,5,2
진관사,은평구,화계사,강북구,50,5,3
진관사,은평구,도선사,강북구,55,5,4
