site_name,sigungu,verse_no,kind,title,body
대원사,산청,1,MISSION,지리산 대원사에서 첫 걸음,"절 마당에 들어서기 전에 신발을 고쳐 신는다. 계곡 물소리가 들리는 자리에 서서 숨을 세 번 고른 뒤, 오늘 이 길을 걷는 까닭을 한 문장으로 적어 본다. 다 적었으면 소리 내지 않고 한 번 읽는다."
대원사,산청,1,EXT,물소리,물은 서두르지 않고도 바위를 지난다.
백련사,강진,2,MISSION,만덕산 백련사에서 놓아두기,동백 숲을 지나 대웅전 앞에 선다. 지고 온 것 가운데 오늘 하루만 내려놓을 것을 하나 고르고 그 이름을 적는다. 내려놓았다고 사라지지는 않지만 손이 비어야 다음 것을 들 수 있다.
백련사,강진,2,EXT,동백,"""떨어진 꽃도 한때는 끝까지 붉었다, 그 붉음은 헛되지 않았다."""
송광사,순천,3,MISSION,조계산 송광사에서 함께 걷기,승보 도량이라 부르는 까닭은 사람이 모여 살았기 때문이다. 오늘 이 길에서 스친 사람 한 명을 떠올리고 그에게 건네고 싶은 말을 적는다. 부치지 않아도 된다.
송광사,순천,3,EXT,함께,혼자 걸으면 빠르고 함께 걸으면 멀리 간다.
용문사,양평,4,MISSION,용문산 용문사에서 오래 보기,"천 년을 산 은행나무 아래에 선다. 이 나무가 지나온 시간 앞에서 내 걱정 하나의 크기를 다시 재어 보고, 그 크기를 숫자가 아니라 문장으로 적는다."
용문사,양평,4,EXT,은행나무,천 년을 산 나무도 해마다 잎을 놓는다.
흥국사,여수,5,MISSION,영취산 흥국사에서 돌아보기,마지막 자리다. 걸어온 길을 순서대로 떠올리고 가장 오래 남을 장면 하나를 고른다. 그 장면을 남에게 설명하듯 적어 두면 몇 해 뒤에도 그날의 빛이 함께 읽힌다.
흥국사,여수,5,EXT,돌아보기,끝은 시작한 자리를 다시 보게 한다.
